国家,总检测数
美国,7179949.0
俄罗斯,4100000.0
德国,2547052.0
意大利,2153772.0
西班牙,1932455.0
英国,1206405.0
阿联酋,1200000.0
土耳其,1135367.0
法国,1100228.0
印度,1046450.0
加拿大,893490.0
澳大利亚,633107.0
韩国,630973.0
伊朗,496273.0
葡萄牙,426837.0
比利时,423971.0
以色列,397046.0
波兰,375948.0
秘鲁,375096.0
沙特阿拉伯,352555.0
巴西,339552.0
哈萨克斯坦,282862.0
瑞士,280220.0
奥地利,274355.0
捷克,257678.0
南非,245747.0
乌兹别克斯坦,242536.0
丹麦,233799.0
荷兰,225899.0
智利,206218.0
白俄罗斯,204239.0
巴基斯坦,203025.0
科威特,196397.0
马来西亚,195833.0
罗马尼亚,195508.0
日本,181527.0
泰国,178083.0
挪威,172586.0
爱尔兰,169377.0
阿塞拜疆,157932.0
巴林,144155.0
新加坡,143919.0
乌克兰,129723.0
菲律宾,120736.0
瑞典,119500.0
加纳,117049.0
哥伦比亚,114602.0
印度尼西亚,112965.0
伊拉克,103262.0
芬兰,102300.0
塞尔维亚,101911.0
卡塔尔,97728.0
墨西哥,93791.0
埃及,90000.0
匈牙利,82010.0
孟加拉,81434.0
希腊,79332.0
厄瓜多尔,78659.0
阿根廷,65813.0
冰岛,50406.0
卢森堡,48118.0
摩洛哥,42112.0
阿曼,40459.0
克罗地亚,38084.0
波黑,33928.0
巴拿马,33354.0
多米尼加,30102.0
亚美尼亚,24177.0
摩尔多瓦,20447.0
尼日利亚,16588.0
阿富汗,11068.0
阿尔及利亚,6500.0
