国家,累计死亡人数
Montserrat,1
Somalia,44
Turks and Caicos Is.,1
Kenya,29
Czech Rep.,273
United States,77180
International,7
Finland,260
Puerto Rico,107
Uruguay,18
Haiti,12
Egypt,503
Congo,10
Guam,5
Honduras,107
New Caledonia,0
Germany,7369
Macedonia,90
Libya,3
St. Vin. and Gren.,0
Kuwait,47
Lao PDR,0
Albania,31
Maldives,3
Poland,776
Canada,4569
Cayman Is.,1
Monaco,4
Lithuania,49
Jamaica,9
Antigua and Barb.,3
Mongolia,0
Mauritius,10
France,26230
Gambia,1
Iran,6541
Curaçao,1
Papua New Guinea,0
Yemen,7
Sudan,59
Comoros,1
Cambodia,0
Tajikistan,12
British Virgin Islands,1
Côte d'Ivoire,20
S. Sudan,0
Kazakhstan,31
Zambia,4
Denmark,522
Guinea-Bissau,2
Saint Kitts and Nevis,0
Korea,256
Lebanon,26
Nigeria,117
N. Mariana Is.,2
Spain,26251
Chad,28
Tunisia,45
United Arab Emirates,174
Serbia,209
Uganda,0
Colombia,428
Algeria,488
Cameroon,108
Singapore,20
Sint Maarten (Dutch part),15
Montenegro,8
Italy,30201
Andorra,47
Guinea,11
Guatemala,24
Bonaire Sint Eustatius and Saba,0
Latvia,18
Qatar,12
Bolivia,106
Saint Lucia,0
Bulgaria,88
W. Sahara,0
Switzerland,1525
Greenland,0
Croatia,86
China,4637
Liberia,20
Moldova,152
Cape Verde,2
Afghanistan,109
Aruba,3
Bermuda,7
Ethiopia,4
Myanmar,6
Netherlands,5359
Malaysia,107
New Zealand,21
Peru,1714
Senegal,14
San Marino,41
South Africa,178
Jersey,25
Eq. Guinea,4
Togo,10
Barbados,7
Oman,15
Japan,601
Gibraltar,0
Zimbabwe,4
Bosnia and Herz.,98
Malta,5
Palestine,4
Bangladesh,206
Fiji,0
Costa Rica,6
Paraguay,10
Kosovo,28
Chile,294
Norway,213
Portugal,1114
Sierra Leone,17
Suriname,1
Slovakia,26
Sweden,3175
Syria,3
Dem. Rep. Congo,39
Jordan,9
Ukraine,361
Israel,245
Iraq,104
Bahamas,11
Dominica,0
Central African Rep.,0
United Kingdom,31241
Azerbaijan,28
Luxembourg,100
Vatican,0
Seychelles,0
Niger,44
Swaziland,2
Trinidad and Tobago,8
Kyrgyzstan,12
Cyprus,21
Isle of Man,23
Gabon,8
India,1981
Malawi,3
Dominican Rep.,380
Bhutan,0
Falkland Is.,0
Ghana,18
Burkina Faso,48
Faeroe Is.,0
Mali,35
Georgia,10
Australia,97
Djibouti,3
Benin,2
Mozambique,0
Cuba,74
Nepal,0
Fr. Polynesia,0
Guyana,10
Thailand,55
Greece,150
Bahrain,8
Morocco,186
Belgium,8521
Guernsey,13
Ireland,1429
Mauritania,1
Saudi Arabia,229
Turkey,3689
Taiwan,6
Vietnam,0
Grenada,0
Austria,614
Armenia,43
Angola,2
Iceland,10
Madagascar,0
Romania,898
Rwanda,0
Belarus,121
Brazil,9897
Hong Kong,0
Nicaragua,5
São Tomé and Principe,5
Timor-Leste,0
Venezuela,10
Burundi,1
Namibia,0
Ecuador,1704
Philippines,696
Brunei,1
Panama,231
Tanzania,21
Indonesia,943
Argentina,293
Slovenia,100
Uzbekistan,10
Belize,2
Liechtenstein,1
Botswana,1
Sri Lanka,9
U.S. Virgin Is.,4
Mexico,3160
Anguilla,0
Eritrea,0
Hungary,405
Estonia,56
Pakistan,618
Russia,1723
El Salvador,16
World,274290
Aland,0
American Samoa,0
Br. Indian Ocean Ter.,0
Dem. Rep. Korea,0
Fr. S. Antarctic Lands,0
Heard I. and McDonald Is.,0
Kiribati,0
Lesotho,0
Micronesia,0
N. Cyprus,0
Niue,0
Palau,0
S. Geo. and S. Sandw. Is.,0
Saint Helena,0
Samoa,0
Siachen Glacier,0
Solomon Is.,0
St. Pierre and Miquelon,0
Timor-Leste,0
Tonga,0
Turkmenistan,0
Vanuatu,0
