国家,累计确诊人数
Bangladesh,13134
Zambia,167
Falkland Is.,13
Malta,489
Palestine,547
Kosovo,862
Sierra Leone,257
Suriname,10
Aruba,101
Chile,25972
Luxembourg,3871
Norway,8034
Malawi,43
Sri Lanka,835
Japan,15628
Jordan,508
Fiji,18
Dem. Rep. Congo,937
Ecuador,28818
Faeroe Is.,187
Dominica,16
Iraq,2603
United Kingdom,211364
Central African Rep.,143
Barbados,83
Costa Rica,773
Latvia,928
Panama,8070
Bosnia and Herz.,2070
Bolivia,2266
Gibraltar,146
Israel,16436
Portugal,27268
Paraguay,563
W. Sahara,6
New Zealand,1142
Slovakia,1455
Sweden,25265
Liberia,199
Ethiopia,194
Seychelles,11
Zimbabwe,35
Saint Lucia,18
Montenegro,324
Pakistan,27474
United Arab Emirates,16793
Bulgaria,1911
Hong Kong,0
Senegal,1551
Ukraine,14195
Cuba,1741
Togo,145
Belize,18
Argentina,5598
Colombia,10051
Cape Verde,230
Switzerland,30124
Oman,3112
Syria,47
Ireland,22541
Greece,2691
Mozambique,82
Malaysia,6535
Belarus,21101
Algeria,5369
Mauritania,8
Turkey,135569
Nigeria,3912
Djibouti,1135
Lebanon,796
Vatican,12
Bhutan,7
Guyana,94
Comoros,8
Iceland,1801
Myanmar,177
Vietnam,288
Andorra,752
Brazil,145328
Benin,242
Korea,10840
Singapore,21707
Romania,14811
Curaçao,16
Iran,104691
France,138421
Papua New Guinea,8
Cayman Is.,81
Yemen,34
Lithuania,1436
Tajikistan,522
Trinidad and Tobago,116
Ghana,4012
Swaziland,159
Gambia,20
S. Sudan,120
Saint Kitts and Nevis,15
Uganda,101
Jamaica,490
India,59662
Eq. Guinea,439
Sudan,1111
Tunisia,1030
Azerbaijan,2279
Cambodia,122
Thailand,3000
St. Vin. and Gren.,17
Poland,15366
Finland,5738
Maldives,644
Puerto Rico,2156
Guinea-Bissau,594
New Caledonia,18
Congo,287
Afghanistan,3778
Kenya,621
Egypt,8476
San Marino,623
Somalia,928
Kuwait,7208
Libya,64
Czech Rep.,8077
Brunei,141
Uruguay,694
United States,1283929
Canada,66434
World,3898658
Albania,850
Guam,151
Mauritius,332
Germany,168551
Antigua and Barb.,25
Honduras,1771
Macedonia,1586
Timor-Leste,24
Peru,61847
Philippines,10463
China,83976
Jersey,293
Monaco,95
Indonesia,13112
Mongolia,42
Netherlands,42093
Bonaire Sint Eustatius and Saba,6
Botswana,23
Lao PDR,19
Namibia,16
Qatar,20201
Mexico,31522
Tanzania,509
Estonia,1725
Haiti,146
Greenland,11
Hungary,3213
Montserrat,11
El Salvador,784
Croatia,2161
Russia,187859
Uzbekistan,2336
Moldova,4728
Liechtenstein,83
Burundi,19
Anguilla,3
Bermuda,118
Nicaragua,16
Turks and Caicos Is.,12
Belgium,52011
Italy,217185
Morocco,5711
Venezuela,388
South Africa,8895
Serbia,9943
Taiwan,440
Armenia,3029
Eritrea,39
Chad,260
Spain,222857
N. Mariana Is.,15
Guinea,2009
Saudi Arabia,35432
Bahrain,4444
Gabon,620
U.S. Virgin Is.,68
São Tomé and Principe,208
Guatemala,900
International,696
Slovenia,1450
Cameroon,2265
Rwanda,273
Sint Maarten (Dutch part),76
Austria,15735
Angola,43
Burkina Faso,744
Côte d'Ivoire,1602
Grenada,21
Kyrgyzstan,931
Australia,6914
Bahamas,92
Cyprus,891
Madagascar,193
Fr. Polynesia,60
Niger,795
Kazakhstan,4834
Guernsey,252
Nepal,101
Georgia,623
Denmark,10218
Isle of Man,329
Dominican Rep.,9376
Mali,668
British Virgin Islands,7
Aland,0
American Samoa,0
Br. Indian Ocean Ter.,0
Dem. Rep. Korea,0
Fr. S. Antarctic Lands,0
Heard I. and McDonald Is.,0
Kiribati,0
Lesotho,0
Micronesia,0
N. Cyprus,0
Niue,0
Palau,0
S. Geo. and S. Sandw. Is.,0
Saint Helena,0
Samoa,0
Siachen Glacier,0
Solomon Is.,0
St. Pierre and Miquelon,0
Timor-Leste,0
Tonga,0
Turkmenistan,0
Vanuatu,0
