国家,本周较上周新增病死人数增速
各国平均,-0.05266664445850966
卡塔尔,4.333333333333333
奥地利,4.0
阿根廷,0.6166666666666667
巴林,0.5
多米尼加,0.42307692307692313
南非,0.3969465648854962
科威特,0.36585365853658547
智利,0.3619909502262444
墨西哥,0.34064171122994646
菲律宾,0.3392857142857142
沙特阿拉伯,0.32352941176470584
俄罗斯,0.31360201511335006
韩国,0.25
孟加拉,0.20799999999999996
印度,0.20534759358288768
埃及,0.19199999999999995
巴西,0.18061206439058908
瑞典,0.1549707602339181
加拿大,0.07533234859675031
哥伦比亚,0.05594405594405605
西班牙,0.0
白俄罗斯,0.0
葡萄牙,-0.010752688172043001
巴基斯坦,-0.01619433198380571
伊朗,-0.04303797468354431
秘鲁,-0.05221339387060164
日本,-0.06451612903225812
印度尼西亚,-0.07234042553191489
巴拿马,-0.09677419354838712
土耳其,-0.12396694214876036
瑞士,-0.1923076923076923
罗马尼亚,-0.23300970873786409
美国,-0.2468912743118291
波兰,-0.2584269662921348
英国,-0.2607084019769358
阿富汗,-0.26315789473684215
乌克兰,-0.2682926829268293
爱尔兰,-0.2727272727272727
阿联酋,-0.27586206896551724
比利时,-0.28621908127208484
荷兰,-0.30810810810810807
德国,-0.31496062992125984
厄瓜多尔,-0.3777038269550749
意大利,-0.4132379248658319
法国,-0.4341772151898734
以色列,-0.6428571428571428
塞尔维亚,-0.6923076923076923
丹麦,-0.7083333333333333
中国,-1.0
新加坡,-1.0
